episode,reward,loss,dqn_bottleneck,spf_bottleneck,latency_ms,jitter_ms,loss_pct,epsilon
353,8.4979,18.2849,36.65,93.84,42.57,5.811,0.018,0.859
354,-4.0551,117.7701,40.98,29.64,45.86,7.623,0.02,0.858
355,0.6844,133.7216,37.16,28.57,4.1,1.105,0.019,0.858
356,-1167.242,44.6122,100.0,100.0,1574.64,3543.64,30.05,0.858
357,7.6413,121.9428,42.2,92.08,14.91,4.168,0.021,0.857
358,-5.7553,122.6429,42.79,17.05,40.06,7.522,0.021,0.857
359,-5.5668,318.8535,34.83,13.92,40.97,5.183,0.017,0.856
360,8.4222,266.7628,39.05,90.68,4.57,1.214,0.02,0.856
361,-1.6098,81.1309,61.85,94.07,99.69,46.375,0.031,0.856
362,-746.2163,98.2703,100.0,91.53,1003.68,2260.388,30.05,0.855
363,-4.1028,61.9908,41.54,34.15,61.51,10.272,0.021,0.855
364,-724.2695,54.9665,100.0,100.0,918.54,2067.065,30.05,0.854
365,0.7073,77.1848,37.51,20.15,3.7,1.075,0.019,0.854
366,-110.6276,135.53,82.1,82.1,174.48,296.079,4.122,0.854
367,0.1519,19.8322,43.65,20.5,10.86,3.052,0.022,0.853
368,-2.383,43.0593,36.8,31.85,37.61,5.026,0.018,0.853
369,7.7001,121.6528,36.0,83.11,20.11,3.233,0.018,0.852
370,-458.654,56.659,100.0,100.0,524.88,1181.68,30.05,0.852
371,-76.0182,90.4734,83.48,22.2,312.12,594.122,5.215,0.852
372,3.3092,101.0339,39.79,39.79,10.63,2.658,0.02,0.851
